,Art_Artist0,count,artist_wd_Name,artist_wd_URI,BirthPlace_Label,BirthPlace_URI
0,Raffael,96,Raffaello Sanzio,<http://www.wikidata.org/entity/Q5597>,Italy,<http://www.wikidata.org/entity/Q38>
1,Guercino,91,Guercino,<http://www.wikidata.org/entity/Q334262>,Italy,<http://www.wikidata.org/entity/Q38>
2,Jacopo Pontormo,40,Pontormo,<http://www.wikidata.org/entity/Q207929>,Italy,<http://www.wikidata.org/entity/Q38>
3,Tizian,39,Tiziano Vecellio,<http://www.wikidata.org/entity/Q47551>,Italy,<http://www.wikidata.org/entity/Q38>
4,Meister der San Bevignate,32,,,Italy,<http://www.wikidata.org/entity/Q38>
5,Lorenzo Lotto,26,Lorenzo Lotto,<http://www.wikidata.org/entity/Q310973>,Italy,<http://www.wikidata.org/entity/Q38>
6,Correggio,22,Correggio,<http://www.wikidata.org/entity/Q8457>,Italy,<http://www.wikidata.org/entity/Q38>
7,Baldassare Peruzzi,18,Baldassarre Peruzzi,<http://www.wikidata.org/entity/Q177213>,Italy,<http://www.wikidata.org/entity/Q38>
8,Antonio del Pollaiuolo,18,Antonio del Pollaiolo,<http://www.wikidata.org/entity/Q318640>,Italy,<http://www.wikidata.org/entity/Q38>
9,Domenico Beccafumi,15,Domenico Beccafumi,<http://www.wikidata.org/entity/Q455712>,Italy,<http://www.wikidata.org/entity/Q38>
10,Vittore Carpaccio,14,Vittore Carpaccio,<http://www.wikidata.org/entity/Q5581>,Italy,<http://www.wikidata.org/entity/Q38>
11,No Data,14,,,,
12,Sano di Pietro,12,Sano di Pietro,<http://www.wikidata.org/entity/Q1379714>,Italy,<http://www.wikidata.org/entity/Q38>
13,Giorgione,11,Giorgione,<http://www.wikidata.org/entity/Q8459>,Italy,<http://www.wikidata.org/entity/Q38>
14,Alessandro Moretto,9,Il Moretto,<http://www.wikidata.org/entity/Q954504>,Italy,<http://www.wikidata.org/entity/Q38>
15,Agnolo Bronzino,8,Agnolo Bronzino,<http://www.wikidata.org/entity/Q7803>,Italy,<http://www.wikidata.org/entity/Q38>
16,Bonifazio Veronese,8,Bonifacio Veronese,<http://www.wikidata.org/entity/Q744747>,Italy,<http://www.wikidata.org/entity/Q38>
17,Francesco Furini,7,Francesco Furini,<http://www.wikidata.org/entity/Q1356978>,Italy,<http://www.wikidata.org/entity/Q38>
18,Jacopo Palma,7,Jacopo Palma il Vecchio,<http://www.wikidata.org/entity/Q9342>,Italy,<http://www.wikidata.org/entity/Q38>
19,Leonardo da Vinci,6,Leonardo da Vinci,<http://www.wikidata.org/entity/Q762>,Italy,<http://www.wikidata.org/entity/Q38>
20,Francesco Salviati,6,Francesco Salviati,<http://www.wikidata.org/entity/Q704594>,Italy,<http://www.wikidata.org/entity/Q38>
21,Sebastiano del Piombo,6,Sebastiano del Piombo,<http://www.wikidata.org/entity/Q285423>,Italy,<http://www.wikidata.org/entity/Q38>
22,Mattioli Battista di Baldassarre,6,Mattioli Battista di Baldassarre,<http://www.wikidata.org/entity/Q16039540>,Italy,<http://www.wikidata.org/entity/Q38>
23,Perugino,6,Antonio Francesco Peruzzini,<http://www.wikidata.org/entity/Q3619602>,Italy,<http://www.wikidata.org/entity/Q38>
24,Piero di Jacopo d'Antonio Benci del Pollaiuolo,6,Piero del Pollaiolo,<http://www.wikidata.org/entity/Q707046>,Italy,<http://www.wikidata.org/entity/Q38>
25,Garofalo,5,Benvenuto Tisi da Garofalo,<http://www.wikidata.org/entity/Q728512>,Italy,<http://www.wikidata.org/entity/Q38>
26,Marco Basaiti,5,Marco Basaiti,<http://www.wikidata.org/entity/Q918859>,Italy,<http://www.wikidata.org/entity/Q38>
27,Lorenzo di Credi,5,Lorenzo di Credi,<http://www.wikidata.org/entity/Q8511>,Italy,<http://www.wikidata.org/entity/Q38>
28,Marcello Venusti,5,Marcello Venusti,<http://www.wikidata.org/entity/Q2716659>,Italy,<http://www.wikidata.org/entity/Q38>
29,Cosimo Tura,5,Cosmè Tura,<http://www.wikidata.org/entity/Q7129>,Italy,<http://www.wikidata.org/entity/Q38>
30,Antonello da Messina,5,Antonello da Messina,<http://www.wikidata.org/entity/Q5594>,Italy,<http://www.wikidata.org/entity/Q38>
31,Francesco Botticini,5,Francesco Botticini,<http://www.wikidata.org/entity/Q983275>,Italy,<http://www.wikidata.org/entity/Q38>
32,Sebastiano Conca,5,Sebastiano Conca,<http://www.wikidata.org/entity/Q774781>,Italy,<http://www.wikidata.org/entity/Q38>
33,Francesco del Cossa,4,Francesco del Cossa,<http://www.wikidata.org/entity/Q454892>,Italy,<http://www.wikidata.org/entity/Q38>
34,Giovanni Battista Cima da Conegliano,4,Cima da Conegliano,<http://www.wikidata.org/entity/Q8453>,Italy,<http://www.wikidata.org/entity/Q38>
35,Parmigianino,4,Michele Rocca,<http://www.wikidata.org/entity/Q6836834>,Italy,<http://www.wikidata.org/entity/Q38>
36,Fra Paolino,4,Fra' Paolino da Pistoia,<http://www.wikidata.org/entity/Q3749183>,Italy,<http://www.wikidata.org/entity/Q38>
37,Domenichino,4,Domenichino,<http://www.wikidata.org/entity/Q320118>,Italy,<http://www.wikidata.org/entity/Q38>
38,Sebastiano Florigerio,3,Sebastiano Florigerio,<http://www.wikidata.org/entity/Q953602>,Italy,<http://www.wikidata.org/entity/Q38>
39,Girolamo Mazzola-Bedoli,3,Girolamo Mazzola Bedoli,<http://www.wikidata.org/entity/Q1527051>,Italy,<http://www.wikidata.org/entity/Q38>
40,Bernardino Pintoricchio,3,Pinturicchio,<http://www.wikidata.org/entity/Q5591>,Italy,<http://www.wikidata.org/entity/Q38>
41,Luca Cambiaso,3,Luca Cambiaso,<http://www.wikidata.org/entity/Q712512>,Italy,<http://www.wikidata.org/entity/Q38>
42,Guido Reni,3,Guido Reni,<http://www.wikidata.org/entity/Q109061>,Italy,<http://www.wikidata.org/entity/Q38>
43,Carlo Crivelli,3,Carlo Crivelli,<http://www.wikidata.org/entity/Q348024>,Italy,<http://www.wikidata.org/entity/Q38>
44,Giovanni Bellini,3,Giovanni Bellini,<http://www.wikidata.org/entity/Q17169>,Italy,<http://www.wikidata.org/entity/Q38>
45,Andrea del Sarto,3,Andrea del Sarto,<http://www.wikidata.org/entity/Q5571>,Italy,<http://www.wikidata.org/entity/Q38>
46,Carlo Saraceni,3,Carlo Saraceni,<http://www.wikidata.org/entity/Q938607>,Italy,<http://www.wikidata.org/entity/Q38>
47,Francesco Ubertini,3,Il Bacchiacca,<http://www.wikidata.org/entity/Q7770>,Italy,<http://www.wikidata.org/entity/Q38>
48,Gaspard Dughet,3,Gaspard Dughet,<http://www.wikidata.org/entity/Q741375>,Italy,<http://www.wikidata.org/entity/Q38>
49,Giovanni Cariani,3,Giovanni Cariani,<http://www.wikidata.org/entity/Q976391>,Italy,<http://www.wikidata.org/entity/Q38>
50,Salvator Rosa,3,Salvator Rosa,<http://www.wikidata.org/entity/Q359421>,Italy,<http://www.wikidata.org/entity/Q38>
51,Agostino Carracci,3,Agostino Carracci,<http://www.wikidata.org/entity/Q316269>,Italy,<http://www.wikidata.org/entity/Q38>
52,Pietro Donzelli,2,Pietro del Donzello,<http://www.wikidata.org/entity/Q1454460>,Italy,<http://www.wikidata.org/entity/Q38>
53,Bartolomeo Veneto,2,Bartolomeo Veneto,<http://www.wikidata.org/entity/Q809520>,Italy,<http://www.wikidata.org/entity/Q38>
54,Vincenzo Catena,2,Vincenzo Catena,<http://www.wikidata.org/entity/Q1968947>,Italy,<http://www.wikidata.org/entity/Q38>
55,Filippo Lucci,2,,,Italy,<http://www.wikidata.org/entity/Q38>
56,Sandro Botticelli,2,Sandro Botticelli,<http://www.wikidata.org/entity/Q5669>,Italy,<http://www.wikidata.org/entity/Q38>
57,Perino del Vaga,2,Perin del Vaga,<http://www.wikidata.org/entity/Q918778>,Italy,<http://www.wikidata.org/entity/Q38>
58,Luca Giordano,2,Luca Giordano,<http://www.wikidata.org/entity/Q332494>,Italy,<http://www.wikidata.org/entity/Q38>
59,Andrea Sacchi,2,Andrea Sacchi,<http://www.wikidata.org/entity/Q495008>,Italy,<http://www.wikidata.org/entity/Q38>
60,Maestro dei Dodici Apostoli,2,Maestro dei dodici apostoli,<http://www.wikidata.org/entity/Q1417786>,Italy,<http://www.wikidata.org/entity/Q38>
61,Matteo Balducci,2,Matteo Balducci,<http://www.wikidata.org/entity/Q3299615>,Italy,<http://www.wikidata.org/entity/Q38>
62,Fra Vittore Ghislandi,2,Fra' Galgario,<http://www.wikidata.org/entity/Q1440305>,Italy,<http://www.wikidata.org/entity/Q38>
63,Ercole de' Roberti,2,Ercole de' Roberti,<http://www.wikidata.org/entity/Q379521>,Italy,<http://www.wikidata.org/entity/Q38>
64,Giulio Cesare Procaccini,2,Giulio Cesare Procaccini,<http://www.wikidata.org/entity/Q1119589>,Italy,<http://www.wikidata.org/entity/Q38>
65,Nicola Pisano,2,Niccolò Pisano,<http://www.wikidata.org/entity/Q3339591>,Italy,<http://www.wikidata.org/entity/Q38>
66,Giovanni Antonio Galli,2,Giovanni Antonio Galli,<http://www.wikidata.org/entity/Q1525739>,Italy,<http://www.wikidata.org/entity/Q38>
67,Benozzo Gozzoli,2,Benozzo Gozzoli,<http://www.wikidata.org/entity/Q248615>,Italy,<http://www.wikidata.org/entity/Q38>
68,Giovanni Battista Gaulli,2,Giovan Battista Gaulli,<http://www.wikidata.org/entity/Q520573>,Italy,<http://www.wikidata.org/entity/Q38>
69,Daniele da Volterra,2,Daniele da Volterra,<http://www.wikidata.org/entity/Q540489>,Italy,<http://www.wikidata.org/entity/Q38>
70,Gentile Bellini,2,Gentile Bellini,<http://www.wikidata.org/entity/Q290407>,Italy,<http://www.wikidata.org/entity/Q38>
71,Carlo Francesco Nuvolone,2,Carlo Francesco Nuvolone,<http://www.wikidata.org/entity/Q951849>,Italy,<http://www.wikidata.org/entity/Q38>
72,Diamante di Feo,2,Fra Diamante,<http://www.wikidata.org/entity/Q280940>,Italy,<http://www.wikidata.org/entity/Q38>
73,Sebastiano Ricci,2,Sebastiano Ricci,<http://www.wikidata.org/entity/Q506483>,Italy,<http://www.wikidata.org/entity/Q38>
74,Ventura Salimbeni,1,Ventura Salimbeni,<http://www.wikidata.org/entity/Q1397817>,Italy,<http://www.wikidata.org/entity/Q38>
75,Alessandro Turchi,1,Alessandro Turchi,<http://www.wikidata.org/entity/Q507279>,Italy,<http://www.wikidata.org/entity/Q38>
76,Mario Balassi,1,Mario Balassi,<http://www.wikidata.org/entity/Q1174322>,Italy,<http://www.wikidata.org/entity/Q38>
77,Filippino Lippi,1,Filippino Lippi,<http://www.wikidata.org/entity/Q296265>,Italy,<http://www.wikidata.org/entity/Q38>
78,Salvo di Antonio,1,Salvo d'Antonio,<http://www.wikidata.org/entity/Q2215842>,Italy,<http://www.wikidata.org/entity/Q38>
79,Fra Bartolommeo,1,Fra Bartolomeo,<http://www.wikidata.org/entity/Q7780>,Italy,<http://www.wikidata.org/entity/Q38>
80,Giovanni Pietro Rizzoli,1,Giampietrino,<http://www.wikidata.org/entity/Q940454>,Italy,<http://www.wikidata.org/entity/Q38>
81,Giovanni Francesco Caroto,1,Giovan Francesco Caroto,<http://www.wikidata.org/entity/Q966586>,Italy,<http://www.wikidata.org/entity/Q38>
82,Francesco Morone,1,Francesco Morone,<http://www.wikidata.org/entity/Q1441160>,Italy,<http://www.wikidata.org/entity/Q38>
83,Jacopo da Empoli,1,Jacopo Chimenti,<http://www.wikidata.org/entity/Q2625832>,Italy,<http://www.wikidata.org/entity/Q38>
84,Bernardo Strozzi,1,Bernardo Strozzi,<http://www.wikidata.org/entity/Q437724>,Italy,<http://www.wikidata.org/entity/Q38>
85,Antonio Joli,1,Antonio Joli,<http://www.wikidata.org/entity/Q2404265>,Italy,<http://www.wikidata.org/entity/Q38>
86,Domenico Piola,1,Domenico Piola,<http://www.wikidata.org/entity/Q1054362>,Italy,<http://www.wikidata.org/entity/Q38>
87,Giorgio Vasari,1,Giorgio Vasari,<http://www.wikidata.org/entity/Q128027>,Italy,<http://www.wikidata.org/entity/Q38>
88,Jacopo Zucchi,1,Jacopo Zucchi,<http://www.wikidata.org/entity/Q528968>,Italy,<http://www.wikidata.org/entity/Q38>
89,Antonello Riccio,1,Antonello Riccio,<http://www.wikidata.org/entity/Q3618976>,Italy,<http://www.wikidata.org/entity/Q38>
90,Rutilio di Lorenzo Manetti,1,Rutilio Manetti,<http://www.wikidata.org/entity/Q1853073>,Italy,<http://www.wikidata.org/entity/Q38>
91,Paris Bordone,1,Paris Bordon,<http://www.wikidata.org/entity/Q366081>,Italy,<http://www.wikidata.org/entity/Q38>
92,Joseph Highmore,1,Joseph Highmore,<http://www.wikidata.org/entity/Q1707243>,United Kingdom,<http://www.wikidata.org/entity/Q145>
93,Giulio Carpioni,1,Giulio Carpioni,<http://www.wikidata.org/entity/Q1528009>,Italy,<http://www.wikidata.org/entity/Q38>
94,Franciabigio,1,Franciabigio,<http://www.wikidata.org/entity/Q537712>,Italy,<http://www.wikidata.org/entity/Q38>
95,Luca Signorelli,1,Luca Signorelli,<http://www.wikidata.org/entity/Q7031>,Italy,<http://www.wikidata.org/entity/Q38>
96,Carlo Dolci,1,Carlo Dolci,<http://www.wikidata.org/entity/Q503322>,Italy,<http://www.wikidata.org/entity/Q38>
97,Peter de Kempeneer,1,Pedro de Campaña,<http://www.wikidata.org/entity/Q2066867>,Belgium,<http://www.wikidata.org/entity/Q31>
98,Alessandro Allori,1,Alessandro Allori,<http://www.wikidata.org/entity/Q333369>,Italy,<http://www.wikidata.org/entity/Q38>
99,Andrea di Luigi Ingegno,1,Andrea d'Assisi,<http://www.wikidata.org/entity/Q2846290>,Italy,<http://www.wikidata.org/entity/Q38>
100,Canaletto,1,Canaletto,<http://www.wikidata.org/entity/Q182664>,Italy,<http://www.wikidata.org/entity/Q38>
101,Francesco Vanni,1,Francesco Vanni,<http://www.wikidata.org/entity/Q960581>,Italy,<http://www.wikidata.org/entity/Q38>
102,Giuseppe Caletti,1,Giuseppe Caletti,<http://www.wikidata.org/entity/Q3108002>,Italy,<http://www.wikidata.org/entity/Q38>
103,Andrea Mantegna,1,Andrea Mantegna,<http://www.wikidata.org/entity/Q5681>,Italy,<http://www.wikidata.org/entity/Q38>
104,Dosso Dossi,1,Dosso Dossi,<http://www.wikidata.org/entity/Q356777>,Italy,<http://www.wikidata.org/entity/Q38>
105,Ippolito Scarsella,1,Ippolito Scarsella,<http://www.wikidata.org/entity/Q2295535>,Italy,<http://www.wikidata.org/entity/Q38>
106,Giovanni Paolo Pannini,1,Giovanni Paolo Pannini,<http://www.wikidata.org/entity/Q286670>,Italy,<http://www.wikidata.org/entity/Q38>
107,Bartolommeo Neroni,1,Bartolomeo Neroni,<http://www.wikidata.org/entity/Q809503>,Italy,<http://www.wikidata.org/entity/Q38>
